Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
     151	1.00000000e-04	5.96894631e-04	35.81494213	0.97585647
     152	1.00000000e-04	5.96694458e-04	35.81636586	0.97587744
     153	1.00000000e-04	5.96379009e-04	35.79596136	0.97578376
     154	1.00000000e-04	5.96075454e-04	35.75748916	0.97560831
     155	1.00000000e-04	5.95969830e-04	35.82207812	0.97589047
     156	1.00000000e-04	5.95328349e-04	35.81609923	0.97578087
     157	1.00000000e-04	5.95577761e-04	35.83030487	0.97588444
     158	1.00000000e-04	5.95743135e-04	35.84692000	0.97592384
     159	1.00000000e-04	5.95145610e-04	35.79664403	0.97582074
     160	1.00000000e-04	5.95295323e-04	35.79657943	0.97586563
     161	1.00000000e-04	5.95248031e-04	35.81932199	0.97586561
     162	1.00000000e-04	5.94760624e-04	35.84229571	0.97598112
     163	1.00000000e-04	5.94817640e-04	35.78759597	0.97594233
     164	1.00000000e-04	5.94294717e-04	35.81198066	0.97578469
     165	1.00000000e-04	5.94089377e-04	35.83767250	0.97592971
     166	1.00000000e-04	5.94323317e-04	35.75423363	0.97534901
     167	1.00000000e-04	5.93743738e-04	35.82056836	0.97596110
     168	1.00000000e-04	5.94016168e-04	35.82513536	0.97580613
     169	1.00000000e-04	5.93523584e-04	35.81629810	0.97595624
     170	1.00000000e-04	5.94170478e-04	35.76007646	0.97565913
     171	1.00000000e-04	5.93431115e-04	35.82077535	0.97588818
     172	1.00000000e-04	5.93123186e-04	35.82087259	0.97583791
     173	1.00000000e-04	5.93124849e-04	35.80241986	0.97588438
     174	1.00000000e-04	5.92720308e-04	35.82622808	0.97588151
     175	1.00000000e-04	5.92358696e-04	35.84733645	0.97594641
     176	1.00000000e-04	5.92493220e-04	35.82994622	0.97594738
     177	1.00000000e-04	5.92324194e-04	35.81564873	0.97594637
     178	1.00000000e-04	5.91861225e-04	35.84188615	0.97595309
     179	1.00000000e-04	5.91605747e-04	35.83552914	0.97594849
     180	1.00000000e-04	5.92228560e-04	35.80607700	0.97590991
     181	1.00000000e-04	5.90946876e-04	35.83988986	0.97595849
     182	1.00000000e-04	5.91557485e-04	35.84985452	0.97594041
     183	1.00000000e-04	5.91224996e-04	35.83552688	0.97600205
     184	1.00000000e-04	5.91298029e-04	35.73570592	0.97581529
     185	1.00000000e-04	5.91093554e-04	35.81485995	0.97596577
     186	1.00000000e-04	5.90754056e-04	35.77351665	0.97587411
     187	1.00000000e-04	5.90809802e-04	35.82716529	0.97580935
     188	1.00000000e-04	5.90506479e-04	35.84501856	0.97592704
     189	1.00000000e-04	5.90668247e-04	35.85585733	0.97601740
     190	1.00000000e-04	5.90201885e-04	35.83508235	0.97591040
     191	1.00000000e-04	5.89948795e-04	35.82886983	0.97588515
     192	1.00000000e-04	5.90292998e-04	35.82482221	0.97581319
     193	1.00000000e-04	5.89839266e-04	35.82898277	0.97585949
     194	1.00000000e-04	5.89659126e-04	35.82228456	0.97588519
     195	1.00000000e-04	5.90252480e-04	35.84351456	0.97600020
     196	1.00000000e-04	5.88962091e-04	35.85977301	0.97605899
     197	1.00000000e-04	5.89020413e-04	35.83700563	0.97596226
     198	1.00000000e-04	5.89498995e-04	35.85803955	0.97600093
     199	1.00000000e-04	5.88880498e-04	35.86049423	0.97600292
     200	1.00000000e-04	5.89244784e-04	35.85862014	0.97602277
     201	1.00000000e-04	5.88801724e-04	35.82173560	0.97592336
     202	1.00000000e-04	5.88208471e-04	35.83294324	0.97593786
     203	1.00000000e-04	5.88674317e-04	35.86180331	0.97603802
     204	1.00000000e-04	5.88298560e-04	35.84220679	0.97596975
     205	1.00000000e-04	5.88172549e-04	35.84228621	0.97594069
     206	1.00000000e-04	5.88311146e-04	35.81469272	0.97590933
