Parameters:
 Namespace(case_num=2, config_num=176, interp_scale=2, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX2.pt', alpha=1.0, epsilon=0.1, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=80, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
      58	1.00000000e-03	4.00781812e-03	1.84241134e-04	1.00035563e-01	38.07636344	0.96604728	0.22775719
      59	1.00000000e-03	4.00813661e-03	1.84347192e-04	1.00034113e-01	38.07457018	0.96603786	0.22286133
      60	1.00000000e-04	4.00935273e-03	1.84315394e-04	1.00029922e-01	38.07474283	0.96603823	0.22252896
      61	1.00000000e-04	4.00619606e-03	1.84318066e-04	1.00031175e-01	38.07498936	0.96603845	0.22183558
      62	1.00000000e-04	4.00594096e-03	1.84335656e-04	1.00029914e-01	38.07441488	0.96603708	0.22087561
      63	1.00000000e-04	4.00651865e-03	1.84336666e-04	1.00029585e-01	38.07452358	0.96603564	0.22038831
      64	1.00000000e-04	4.01210691e-03	1.84340480e-04	1.00029358e-01	38.07433912	0.96603799	0.21960607
      65	1.00000000e-04	4.00981293e-03	1.84335510e-04	1.00027165e-01	38.07457110	0.96603728	0.21946158
      66	1.00000000e-04	4.00616611e-03	1.84342094e-04	1.00028570e-01	38.07426697	0.96603615	0.21883711
      67	1.00000000e-04	4.00976891e-03	1.84352522e-04	1.00028503e-01	38.07377605	0.96603377	0.21815211
      68	1.00000000e-04	4.00677341e-03	1.84359081e-04	1.00029029e-01	38.07410729	0.96603405	0.21780846
      69	1.00000000e-04	4.00507183e-03	1.84350479e-04	1.00028776e-01	38.07391471	0.96603427	0.21726906
      70	1.00000000e-04	4.00983802e-03	1.84358768e-04	1.00028642e-01	38.07386684	0.96603597	0.21664356
      71	1.00000000e-04	4.00915739e-03	1.84379033e-04	1.00028414e-01	38.07340398	0.96603268	0.21602213
      72	1.00000000e-04	4.01162287e-03	1.84381901e-04	1.00030640e-01	38.07357106	0.96603318	0.21554938
      73	1.00000000e-04	4.00738254e-03	1.84372366e-04	1.00025281e-01	38.07329901	0.96603404	0.21500327
      74	1.00000000e-04	4.00917415e-03	1.84376977e-04	1.00026152e-01	38.07356565	0.96603247	0.21478322
      75	1.00000000e-04	4.00467199e-03	1.84374124e-04	1.00025478e-01	38.07349360	0.96603187	0.21432176
      76	1.00000000e-04	4.00837399e-03	1.84398219e-04	1.00023413e-01	38.07291926	0.96603240	0.21331270
      77	1.00000000e-04	4.01112313e-03	1.84392039e-04	1.00023460e-01	38.07313059	0.96603121	0.21308206
      78	1.00000000e-04	4.01131297e-03	1.84390049e-04	1.00023292e-01	38.07309136	0.96603191	0.21268936
      79	1.00000000e-04	4.00656031e-03	1.84410017e-04	1.00021723e-01	38.07303243	0.96603330	0.21180874
Best Epoch:2 with PSNR: 38.2544
